"","Nome d'arte","Nome","Sesso","Attività","Paesi.di.prima.pubblicazione","Mercati","Editori","Insegna.presso"
"481",NA,"Coltellacci, Lorenzo","M","Sceneggiatura","IT","GN","Magic Press Edizioni, Tunué",NA
"483",NA,"Comandini, Marina","F","Disegni, colori","IT","GN","Fandango Libri, Round Robin",NA
"484",NA,"Comino, Patrizia","F","Colori","USA","P","AfterShock Comics",NA
"485",NA,"Congedo, Giuseppe","M","Sceneggiatura","IT","P","Bugs Comics",NA
"486",NA,"Congiu, Laura","F","Disegni","IT","GN","Tunué","CIF - Centro internazionale del fumetto (Cagliari)"
"487",NA,"Coniglione, Salvo","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"488",NA,"Conte, Alberto","M","Sceneggiatura","FR","GN","Éditions Clair de Lune",NA
"1989","Yuniiho","Conte, Fidalma","F","Autrice unica","IT","GN","Mangasenpai, Shockdom",NA
"1850","The Sparker","Conte, Stefano","M","Autore unico","IT","GN","SaldaPress",NA
"489",NA,"Contu, Gabriella","F","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"490",NA,"Copello, Luigi","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"491",NA,"Coppola, Alessio","M","Disegni","IT, FR","P, GN","Éditions le Lombard, Les Humanoides Associes, The Walt Disney Company",NA
"492",NA,"Coppola, Gianluigi","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"493",NA,"Corbetta, Silvia","F","Disegni","IT","P","Sergio Bonelli Editore",NA
"494",NA,"Corda, Luca","M","Disegni, lettering","IT","P","Sergio Bonelli Editore",NA
"495",NA,"Cordaro, Ida","F","Autrice unica","IT","GN","Canicola Edizioni",NA
"496",NA,"Cordone, Gabriella","F","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"497",NA,"Cornia, Christian","M","Disegni","IT","GN","Tunué","Scuola internazionale di Comics - Reggio Emilia"
"498",NA,"Corona, Marco","M","Autore unico","IT","GN","001 Edizioni, Canicola Edizioni, Coconino Press, Rizzoli Lizard",NA
"499",NA,"Corradi, Alberto","M","Autore unico","IT","P, GN","Panini Comics, Repubblica XL, Smemoranda","Scuola del fumetto (Verona)"
"500",NA,"Corrao, Stefano","M","Disegni","IT","GN","Edizioni NPE",NA
"501",NA,"Corsani, Cristiano ""Cryx""","M","Autore unico","IT","GN","Sbam! Comics",NA
"502",NA,"Cortesi, Simone","M","Autore unico, disegni","IT","GN","BeccoGiallo",NA
"503",NA,"Corvi, Lele","M","Autore unico","IT","GN","BeccoGiallo",NA
"504",NA,"Cosentino, Antonello","M","Disegni","IT","GN","Edizioni INKiostro",NA
"505",NA,"Cosentino, Daniele","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"506",NA,"Cosentino, Fabrizio","M","Disegni","IT, FR","GN","Éditions Clair de Lune, Kamiti, Shockdom",NA
"507",NA,"Cosi, Francesca","F","Sceneggiatura","IT","GN","BeccoGiallo",NA
"508",NA,"Cossi, Paolo","M","Autore unico","IT","GN","BeccoGiallo, Hazard Edizioni",NA
"509",NA,"Cossu, Ugolino","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"510",NA,"Costa, Davide","M","Sceneggiatura, disegni","IT","P","The Walt Disney Company",NA
"511",NA,"Costa, Stefania","F","Disegni","IT","GN","Tunué","CIF - Centro internazionale del fumetto (Cagliari)"
"512",NA,"Costantini, Antonio","M","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"513",NA,"Costantini, Gianluca","M","Autore unico","IT","GN","Arnoldo Mondadori Editore, BeccoGiallo, Eris Edizioni, Mondadori","Accademia di Belle Arti di Bologna (Corso fumetto e illustrazione)"
"514",NA,"Costantino, Celeste","M","Sceneggiatura","IT","GN","Round Robin",NA
"515",NA,"Costarelli, Luciano","M","Disegni","IT","P","Bugs Comics, Cronache di Topolinia, Edizioni INKiostro",NA
"516",NA,"Cozzi, Gianmauro","M","Colori","IT","P","Sergio Bonelli Editore",NA
"517",NA,"Cremona, Matteo","M","Disegni","IT","P","Panini Comics, Sergio Bonelli Editore",NA
"518",NA,"Crescenzi, Cristiano","M","Disegni","FR","GN","Éditions Glenat, Les Humanoides Associes","Scuola internazionale di Comics - Roma"
"520",NA,"Crippa, Alessandro","M","Sceneggiatura","IT","P, GN","Bugs Comics, Edizioni INKiostro, ReNoir Comics, Sergio Bonelli Editore","Scuola del fumetto (Milano)"
"521",NA,"Cripsta, Alessandro","M","Disegni","IT","GN","BeccoGiallo",NA
"522",NA,"Critone, Luigi","M","Disegni","FR","GN","Casterman, Éditions Delcourt, Éditions Soleil",NA
"523",NA,"Cropera, Michele","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"524",NA,"Crosa, Riccardo","M","Sceneggiatura, disegni","IT, FR","P, GN","Les Humanoides Associes, Sergio Bonelli Editore",NA
"525",NA,"Crotti, Mattia","M","Disegni","IT, FR","GN","Éditions Soleil, Petit à Petit, ReNoir Comics","Scuola del fumetto (Verona)"
"526",NA,"Cucca, Vincenzo","M","Disegni","FR, USA","P, GN","Éditions Glenat, Éditions le Lombard, Marvel Comics","Scuola internazionale di Comics - Pescara"
"527",NA,"Cucchi, Andrea","M","Disegni","FR","GN","Casterman, Petit à Petit",NA
"528",NA,"Cucina, Cristiano","M","Disegni, chine","IT","P","Sergio Bonelli Editore, The Walt Disney Company","SRF - Scuola Romana dei Fumetti"
"529",NA,"Cuello, Daniel","M","Autore unico","IT","GN","Bao Publishing","The Sign - Comics & Arts Academy (Firenze)"
"530",NA,"Cuffari, Salvatore","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"531",NA,"Cuneo, Andrea","M","Disegni","IT","P, GN","Astorina, Éditions Soleil, Sergio Bonelli Editore","Scuola Chiavarese del Fumetto"
"532",NA,"Curto, Ruben","M","Colori","USA","P","Aspen Comics, Zenescope","Scuola internazionale di Comics - Napoli"
"533",NA,"D'Agostino, Adamo","M","Sceneggiatura","IT","P","The Walt Disney Company","Scuola internazionale di Comics - Napoli"
"534",NA,"D'Agostino, Salvo","M","Autore unico","IT","GN","Tunué","Scuola superiore d'arte applicata (Milano)"
"535",NA,"D'Amico, Marco Cosimo","M","Sceneggiatura","FR","GN","Dargaud",NA
"536",NA,"D'Antona, Giulio","M","Sceneggiatura","IT","P","The Walt Disney Company",NA
"537",NA,"d'Armini, Simone","M","Disegni","FR, USA","P, GN","Éditions Glenat, IDW Publishing",NA
"538",NA,"D'Ascani, Federica","F","Sceneggiatura","IT","P","Editoriale Aurea",NA
"1562","Ratigher","D'Erminio, Francesco","M","Autore unico","IT","GN","Coconino Press, Einaudi, SaldaPress","IED - Istituto Europeo di Disegni (Roma)"
"539",NA,"D'Ippolito, Francesco","M","Sceneggiatura, disegni","IT, USA","P","IDW Publishing, The Walt Disney Company","Scuola internazionale di Comics - Genova"
"540",NA,"D’Agata, Fabio","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"541",NA,"D’Agnano, Roberto","M","Autore unico, disegni","IT","GN","BeccoGiallo, Feltrinelli Editore",NA
"542",NA,"D’Angelo, Marco","M","Sceneggiatura","IT","GN","Edizioni NPE","Scuola internazionale di Comics - Roma"
"543",NA,"D’Angelo, Simone","M","Autore unico","IT","GN","Noise Press",NA
"544",NA,"D’Antonio, Paolo","M","Autore unico","IT","GN","BD",NA
"545",NA,"D’Auria, Fabio","M","Colori","IT, USA","P","Marvel Comics, Panini Comics, Sergio Bonelli Editore",NA
"546",NA,"D’Errico, Andrea","M","Colori","IT","P","Sergio Bonelli Editore",NA
"547",NA,"D’Uva, Alessio","M","Sceneggiatura, lettering","IT","GN","BD, Kleiner Flug","Scuola internazionale di Comics - Firenze"
"548",NA,"Da Sacco, Michela","F","Disegni","IT","P","Sergio Bonelli Editore",NA
"551",NA,"Dal Lago, Alberto","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"552",NA,"Dal Prà, Roberto","M","Sceneggiatura","IT, FR","P, GN","Aurea Editoriale, Éditions Delcourt, Editoriale Aurea","Scuola internazionale di Comics - Roma"
"553",NA,"Dalena, Antonello","M","Disegni","IT, FR","P, GN","Éditions le Lombard, Éditions Soleil, The Walt Disney Company",NA
"554",NA,"Dalisi, Luca","M","Autore unico","IT","GN","Lavieri Edizioni",NA
"555",NA,"Dall’Agnol, Piero","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"556",NA,"Dall’Oglio, Massimo","M","Disegni","IT","P","Sergio Bonelli Editore","Fumé Scuola di fumetto"
"1094","Makkox","Dambrosio, Marco","M","Autore unico","IT","GN","Bao Publishing, Rizzoli Lizard",NA
"560","Dany&Dany","Daniela Orrù","F","Autrice unica","IT","GN","BD, Passenger Press","Fumé Scuola di fumetto"
"561","Dany&Dany","Daniela Serri","F","Autrice unica","IT","GN","BD, Passenger Press","Fumé Scuola di fumetto"
"557",NA,"Daniels, Deda","F","Autrice unica, disegni","IT","P, GN","BD, Shockdom, The Walt Disney Company",NA
"558",NA,"Dante, Alex","M","Colori","IT","P","Sergio Bonelli Editore",NA
"559",NA,"Danubio, Giacomo","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"563",NA,"Daveti, Samuel","M","Sceneggiatura","IT, FR","GN","Éditions Soleil, Sarbacane, Shockdom",NA
"608",NA,"de' Grimani, Elena","F","Autrice unica","IT","GN","Panini Comics, Star Comics",NA
"567",NA,"De Angeli, Matteo","M","Lettering","IT","P, GN","Arnoldo Mondadori Editore, BeccoGiallo, Mondadori, Panini Comics",NA
"568",NA,"De Angelis, Roberto","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"569",NA,"De Bernardis, Alessandra","F","Disegni","FR","GN","Kamiti",NA
"570",NA,"De Bianchi, Cecilia","F","Sceneggiatura, disegni","IT","P","The Walt Disney Company",NA
"571",NA,"De Biase, Mariano","M","Disegni, colori","IT","P","Sergio Bonelli Editore",NA
"572",NA,"De Carli, Manuel","M","Disegni","IT","GN","BeccoGiallo",NA
"573",NA,"De Cubellis, Davide","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"574",NA,"De Cunto, Marta","F","Sceneggiatura","IT","P","The Walt Disney Company",NA
"575",NA,"De Dominicis, Andrea","M","Colori","IT","P","Sergio Bonelli Editore",NA
"576",NA,"De Fabritiis, Fabrizio","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"577",NA,"De Falchi, Edoardo","M","Disegni","IT","GN","Shockdom",NA
"578",NA,"De Felici, Lorenzo","M","Disegni","IT, FR, USA","P","Ankama Éditions, Image Comics, SaldaPress, Sergio Bonelli Editore",NA
"579",NA,"De Francisco, Gian Marco","M","Disegni","IT","GN","BeccoGiallo, Cut Up Publishing","Grafite - Scuola di grafica e fumetto (Taranto)"
"580",NA,"De Franco, Andrea","M","Autore unico","IT","GN","Feltrinelli Editore",NA
"581",NA,"De Giovanni, Massimiliano","M","Sceneggiatura","IT","GN","Feltrinelli Editore","Accademia di Belle Arti di Bologna (Corso fumetto e illustrazione)"
"582",NA,"De Giuseppe, Lucio","M","Disegni","IT","P","The Walt Disney Company",NA
"583",NA,"De Iulis, Mattia","M","Colori","IT, USA","P","Marvel Comics, Panini Comics, Sergio Bonelli Editore",NA
"584",NA,"De Lellis, Stefano","M","Disegni","IT","P","The Walt Disney Company",NA
"585",NA,"De Lorenzi, Paolo","M","Disegni","IT","P","The Walt Disney Company",NA
"586",NA,"De Luca, Antonio","M","Disegni","IT","P, GN","Edizioni INKiostro, Sergio Bonelli Editore",NA
"587",NA,"De Luca, Giuseppe","M","Disegni","IT, FR","P, GN","Sergio Bonelli Editore, Zephyr Editions",NA
"588",NA,"De Luca, Mauro","M","Disegni","FR","GN","Éditions le Lombard, Éditions Soleil, Les Humanoides Associes","SRF - Scuola Romana dei Fumetti"
"589",NA,"De Marco, Loris","M","Disegni","IT","GN","Tunué",NA
"590",NA,"De Martino, Fran","F","Autrice unica","IT","GN","BD",NA
"591",NA,"De Martino, Marcello","M","Disegni","IT, FR","P, GN","Casterman, The Walt Disney Company","Scuola italiana di Comix (Napoli)"
"592",NA,"de Mojana, Niccolò","M","Sceneggiatura","IT","P","The Walt Disney Company",NA
"593",NA,"De Napoli, Ylenia","F","Colori","IT","P","Sergio Bonelli Editore",NA
"594",NA,"De Nardo, Giuseppe","M","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"595",NA,"De Pieri, Erika","F","Autrice unica, disegni","IT","GN","BeccoGiallo",NA
"596",NA,"De Plano, Chiara","F","Autrice unica","IT","GN","Shockdom",NA
"597",NA,"De Pretto, Lorenzo","M","Autore unico, sceneggiatura, disegni","IT, FR","P, GN","Edizioni Piemme, Egmont, Piemme, The Walt Disney Company",NA
"598",NA,"De Rosa, Josie","F","Colori","IT","P","Sergio Bonelli Editore",NA
"599",NA,"De Santa, Alessio","M","Sceneggiatura","IT","GN","Tunué",NA
"1332","Nova","De Santis, Alessandra","F","Autrice unica","IT","GN","Bao Publishing",NA
"600",NA,"De Sio, Alessia","F","Colori","IT","GN","Ex Libris",NA
"601",NA,"De Stefano, Michele","M","Autore unico","IT","GN","Feltrinelli Editore",NA
"602",NA,"De Stena, Francesco","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"603",NA,"De Tommaso, Fabrizio","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"604",NA,"De Vincentiis, Adriano","M","Disegni","IT, FR","GN","BD, Éditions Soleil, Edizioni INKiostro",NA
"605",NA,"De Vincenzi, Alessia","F","Disegni","FR","GN","Éditions Delcourt, Petit à Petit",NA
"606",NA,"De Vita, Giulio","M","Disegni","IT, FR","P, GN","Éditions le Lombard, The Walt Disney Company",NA
"607",NA,"De Vita, Massimo","M","Disegni","IT","P","The Walt Disney Company",NA
"609",NA,"Dea Nanni, Eleonora","F","Disegni","IT","P","Sergio Bonelli Editore",NA
"610",NA,"Deflorian, Anna","F","Autrice unica","IT","GN","Canicola Edizioni",NA
"611",NA,"Deiana, Salvatore","M","Disegni","IT","P","The Walt Disney Company",NA
"612",NA,"Del Campo, Andrea","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"613",NA,"Del Conte, Alessandro","M","Disegni","IT","P","The Walt Disney Company",NA
"614",NA,"Del Pennino, Mario","M","Disegni","IT, USA","P","DC Comics, Marvel Comics, Panini Comics",NA
"615",NA,"Del Prete, Paola","F","Autrice unica","IT","GN","Lavieri Edizioni","Scuola italiana di Comix (Napoli)"
"616",NA,"Del Proposto, Federica","F","Autrice unica","IT, FR","GN","Coconino Press, Éditions Gallimard, First Editions",NA
"617",NA,"Del Vecchio, Pasquale","M","Disegni","IT","P","Sergio Bonelli Editore","Scuola internazionale di Comics - Milano"
"1580","Rén","Delicato, Francesca","F","Autrice unica","IT","GN","BeccoGiallo",NA
"983","Jioke","Dell'Oro, Giovanni","M","Autore unico","IT","GN","BD",NA
"619",NA,"Dell’Edera, Werther","M","Disegni","IT","P, GN","Feltrinelli Editore, Sergio Bonelli Editore",NA
"620",NA,"Dell’Olio, Giuseppe","M","Disegni","IT","GN","Kleiner Flug",NA
"621",NA,"Dell’Omodarme, Francesca","F","Autrice unica","IT","GN","Bao Publishing",NA
"622",NA,"Dell’Otto, Gabriele","M","Disegni","IT, USA","P","DC Comics, Marvel Comics, Panini Comics",NA
"623",NA,"Dell’Uomo, Luca","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"624",NA,"Della Ciana, Giulia","F","Autrice unica","IT","GN","Mangasenpai",NA
"625",NA,"Della Monica, Raffaele","M","Disegni","IT","P","Sergio Bonelli Editore, The Walt Disney Company",NA
"626",NA,"Delladio, Simone","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"627",NA,"Delvecchio, Beniamino","M","Disegni, chine","IT","P","Astorina, ReNoir Comics, Sergio Bonelli Editore",NA
"1720","Sayuki Nanaji","Dema, Pamela","F","Disegni","IT","GN","Mangasenpai",NA
"628",NA,"Demonte, Matteo","M","Sceneggiatura","IT","GN","BeccoGiallo",NA
"629",NA,"Deninotti, Danilo","M","Sceneggiatura","IT","P, GN","BD, Feltrinelli Editore, The Walt Disney Company",NA
"630",NA,"Denti, Romina","F","Colori","IT","P","Sergio Bonelli Editore",NA
"631",NA,"Deplano, Paolo","M","Disegni","FR","GN","Éditions Delcourt, Éditions Soleil",NA
"632",NA,"Des Dorides, Fabrizio","M","Disegni","IT","P","Bugs Comics, Sergio Bonelli Editore",NA
"633",NA,"Desiato, Paco","M","Disegni","IT","P","Round Robin, The Walt Disney Company","Scuola italiana di Comix (Napoli)"
"634",NA,"Detti, Francesca","F","Sceneggiatura","IT","GN","Kleiner Flug","Scuola internazionale di Comics - Firenze"
"635",NA,"Detullio, Fabio","M","Disegni","IT, FR","P, GN","Éditions Soleil, Sergio Bonelli Editore",NA
"636",NA,"Devescovi, Franco","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"637",NA,"Di Bernardo, Giuseppe","M","Disegni","IT","P","Astorina","The Sign - Comics & Arts Academy (Firenze)"
"1849","The Hand","Di Bona, Maurizio","M","Autore unico","IT","GN","BeccoGiallo",NA
"638",NA,"Di Caro, Gabriele","M","Disegni","IT","GN","Kleiner Flug",NA
"639",NA,"Di Chiara, Viviana","F","Colori","IT","GN","Noise Press",NA
"640",NA,"Di Clemente, Cristian","M","Autore unico, disegni","IT","P, GN","Bugs Comics, Edizioni INKiostro, Tunué",NA
"641",NA,"Di Clemente, Paolo","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"642",NA,"Di Felice, Cinzia","F","Disegni","FR","GN","Éditions Clair de Lune, Sandawe",NA
"643",NA,"Di Francia, Chiara","F","Colori","IT","GN","Edizioni INKiostro",NA
"644",NA,"Di Giandomenico, Carmine","M","Disegni","IT, USA","P, GN","DC Comics, Feltrinelli Editore, Marvel Comics, Panini Comics, SaldaPress, Star Comics",NA
"645",NA,"Di Giorgio, Mariachiara","F","Autrice unica","IT","GN","Coconino Press",NA
"646",NA,"Di Giovanni, Alessia","M","Sceneggiatura","IT","GN","BeccoGiallo",NA
"647",NA,"Di Grazia, Marco","M","Sceneggiatura","IT","GN","Shockdom",NA
"648",NA,"Di Gregorio, Giovanni","M","Sceneggiatura","IT","P, GN","Bao Publishing, Sergio Bonelli Editore, The Walt Disney Company",NA
"649",NA,"Di Leo, Isabella","F","Autrice unica","IT","GN","BeccoGiallo",NA
"650",NA,"Di Lorenzo, Veronica","F","Disegni","IT","P","The Walt Disney Company",NA
"651",NA,"Di Marco, Salvo","M","Disegni","IT","P","The Walt Disney Company",NA
"652",NA,"Di Masi, Diego","M","Sceneggiatura","IT","GN","BeccoGiallo",NA
"676","Dimat","Di Matteo, Daniela","F","Disegni","FR, USA","P, GN","Éditions Soleil, Zenescope",NA
"653",NA,"Di Matteo, Francesca","F","Disegni","IT","GN","Kleiner Flug",NA
"654",NA,"Di Meo, Federica","F","Disegni","IT","P","Panini Comics","Scuola di fumetto (Associazione scuola di fumetto - varie sedi)"
"655",NA,"Di Meo, Simone","M","Disegni","IT","P","Sergio Bonelli Editore, The Walt Disney Company","Scuola internazionale di Comics - Torino"
"656",NA,"Di Nicola, Fabrizio ""Pluc""","M","Disegni","IT","GN","Edizioni NPE, Shockdom",NA
"657",NA,"Di Nicuolo, Daniele","M","Disegni","IT, FR","P, GN","Éditions Glenat, Sergio Bonelli Editore",NA
"658",NA,"Di Noia, Mirko","M","Autore unico, disegni","IT","GN","Cronache di Topolinia, Murano Publishing",NA
"659",NA,"Di Orazio, Paolo","M","Sceneggiatura","IT","P","Edizioni INKiostro, Sergio Bonelli Editore","Scuola internazionale di Comics - Napoli"
"660",NA,"Di Padova, Elia","M","Disegni","IT","GN","Shockdom","Pencil ART (Bari)"
"661",NA,"Di Pietro, Eleonora","F","Sceneggiatura","FR","GN","Eris Edizioni",NA
"662",NA,"di Qual, Giovanni ""Gio""","M","Disegni","IT","GN","BeccoGiallo",NA
"663",NA,"Di Salvo, Roberto","M","Disegni","IT","P","Sergio Bonelli Editore, The Walt Disney Company",NA
"664",NA,"Di Sepio, Lorenza","F","Autrice unica","IT","GN","Magic Press Edizioni, Tunué",NA
"1796","Spugna","Di Spigna, Tommaso","M","Autore unico","IT","GN","Coconino Press, Hollow Press",NA
"665",NA,"Di Stefano, Mauro","M","Sceneggiatura","IT","GN","Leviathan Labs",NA
"666",NA,"Di Vincenzo, Maurizio","M","Disegni","IT","P","Bugs Comics, Sergio Bonelli Editore","SRF - Scuola Romana dei Fumetti"
"667",NA,"Di Virgilio, Alessandro","M","Sceneggiatura","IT","GN","BeccoGiallo, Edizioni INKiostro, Noise Press, Tunué",NA
"668",NA,"Di Virgilio, Elisa","F","Disegni","IT","P","Star Comics",NA
"669",NA,"Di Vita, Giorgio","M","Disegni","IT","P","The Walt Disney Company","Pencil ART (Bari)"
"670",NA,"Di Vito, Andrea","M","Disegni","IT, USA","P","DC Comics, Marvel Comics, Panini Comics",NA
"671",NA,"Di Vitto, Domenico","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"672",NA,"Di Vitto, Stefano","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"673",NA,"Di Vivona, Chiara","F","Disegni","IT","GN","Shockdom",NA
"674",NA,"Diana, Gianluca","M","Sceneggiatura","IT","GN","Barta Edizioni",NA
"970","Inimeitiel","Dicataldo, Carlotta","F","Disegni","IT, FR","GN","Éditions Dupuis, Tunué",NA
"675",NA,"Dimaggio, Giancarlo","M","Sceneggiatura","FR","GN","BDMusic, Éditions Clair de Lune",NA
"677",NA,"Dimitri, Francesco","M","Sceneggiatura","FR","GN","Éditions Delcourt",NA
"678",NA,"Dinisio, Carmine Moreno","M","Colori","IT, USA","P","Sergio Bonelli Editore, Urban Comics",NA
"679",NA,"Disegni, Stefano","M","Autore unico","IT","GN","Rizzoli Lizard",NA
"680",NA,"Diso, Roberto","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"681",NA,"Dispensa, Flavio","M","Colori","USA","P","DC Comics, IDW Publishing, Image Comics",NA
"682",NA,"Domestici, Andrea","M","Autore unico, disegni","IT","P","San Paolo Periodici",NA
"683",NA,"Dominici, Marco","M","Disegni","FR","GN","Éditions Soleil, Kennes, Les Humanoides Associes",NA
"685",NA,"Donati, Roberto","M","Sceneggiatura","IT","GN","EF, Weird Book",NA
"686",NA,"Dori, Fabrizio","M","Autore unico","IT, FR","GN","Oblomov Edizioni, Sarbacane, Tunué",NA
"687",NA,"Dossena, Francesco","M","Disegni","IT","P","Bugs Comics, Sergio Bonelli Editore",NA
"688",NA,"Dotta, Andrea","M","Disegni","IT","P","The Walt Disney Company","Scuola internazionale di Comics - Genova"
"689",NA,"Dotti, Maurizio","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"690",NA,"Dottori, Alessandra","F","Colori","IT","P","Sergio Bonelli Editore",NA
"692",NA,"Dubini, Miriam","F","Sceneggiatura","IT","P","The Walt Disney Company",NA
"694",NA,"Dzierzawska, Zosia","F","Autrice unica","IT","GN","Topipittori",NA
"695",NA,"Ebon, Chiaretta","F","Sceneggiatura, disegni","IT","GN","Shockdom",NA
"696",NA,"Eccher, Giovanni","M","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"697",NA,"Ecuba, Ennio","M","Sceneggiatura","IT","P","The Walt Disney Company",NA
"700",NA,"Elia, Alfonso","M","Disegni","IT","GN","Cut Up Publishing",NA
"702",NA,"Elisei, Pietro","M","Autore unico","IT","GN","Edizioni NPE",NA
"703",NA,"Enna, Bruno","M","Sceneggiatura","IT","P","Sergio Bonelli Editore, The Walt Disney Company",NA
"704",NA,"Enna, Stefano","M","Sceneggiatura","IT, FR","P, GN","Éditions Glenat, The Walt Disney Company",NA
"705",NA,"Enoch, Luca","M","Sceneggiatura, disegni","IT","P","Sergio Bonelli Editore",NA
"707",NA,"Erbetta, Luca","M","Sceneggiatura, disegni","FR","GN","Éditions Delcourt, Éditions Dupuis, Éditions Glenat",NA
"708",NA,"Ercolani, Emanuele","M","Autore unico, disegni, chine, colori, lettering","IT, USA","P","Edizioni BD, Heavy Metal Magazine, IDW Publishing, J-Pop, Noise Press, The Walt Disney Company",NA
"709",NA,"Ermetti, Libero","M","Disegni","IT","P","The Walt Disney Company",NA
"710",NA,"Esposito, Denisio (Esposito Bros.)","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1540","Quasirosso","Esposito, Giovanni","M","Autore unico","IT","GN","BeccoGiallo, Round Robin, Shockdom","La scuola del fumetto (Cosenza)"
"711",NA,"Esposito, Nando (Esposito Bros.)","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"712",NA,"Evangelisti, Patrizio","M","Disegni, colori","FR","GN","Éditions Delcourt",NA
"713",NA,"Fabbri, Daniele","M","Autore unico","IT","GN","Feltrinelli Editore, Shockdom",NA
"714",NA,"Fabbri, Davide","M","Disegni","IT, USA","P","DC Comics, Marvel Comics, Panini Comics, Sergio Bonelli Editore, Star Comics",NA
"715",NA,"Fabbri, Sara","F","Disegni","IT","GN","Add Editore",NA
"716",NA,"Fabiani, Daniele","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"717",NA,"Fabiano, Gilda","F","Sceneggiatura","IT","P","Bugs Comics",NA
"718",NA,"Fabris, Silvia","F","Disegni","FR","GN","Éditions Soleil, Les Humanoides Associes",NA
"719",NA,"Fabrizio, Simona","F","Disegni","FR","GN","Éditions Jungle",NA
"720",NA,"Faccini, Riccardo","M","Disegni","IT","GN","Shockdom",NA
"721",NA,"Facciolo, Enzo","M","Disegni","IT","P","Astorina",NA
"722",NA,"Facciotto, Giuseppe","M","Disegni","IT","P","The Walt Disney Company","Scuola del fumetto (Verona)"
"723",NA,"Failla, Marco","M","Disegni","IT, USA","P","DC Comics, Image Comics, Marvel Comics, Panini Comics",NA
"724",NA,"Faina, Fabrizio","M","Disegni","FR","GN","Éditions Soleil","Scuola di fumetto (Associazione scuola di fumetto - varie sedi)"
"725",NA,"Faini, Edvige","F","Disegni","IT","P","Sergio Bonelli Editore",NA
"726",NA,"Falchetti, Mauro","M","Sceneggiatura","IT","P","Bugs Comics, Prankster Comics",NA
"727",NA,"Falco, Claudio","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","Scuola italiana di Comix (Napoli)"
"728",NA,"Falco, Giuseppe","M","Autore unico","FR","GN","Éditions Clair de Lune",NA
"729",NA,"Falzone, Gabriele","M","Disegni","IT","GN","Shockdom",NA
"730",NA,"Fanelli, Ciro","M","Autore unico","IT","GN","Rizzoli Lizard",NA
"731",NA,"Fantelli, Stefano","M","Sceneggiatura","IT","GN","Edizioni INKiostro",NA
"732",NA,"Fantini, Catia","F","Disegni","USA","P","Advent Comics","Scuola internazionale di Comics - Reggio Emilia"
"733",NA,"Fara, Antonio","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"734",NA,"Faraci, Tito","M","Sceneggiatura","IT","P, GN","Astorina, BD, Feltrinelli Editore, Rizzoli Lizard, Sergio Bonelli Editore, The Walt Disney Company","Scuola Holden"
"735",NA,"Farina, Adriana","F","Disegni","IT","P","Bugs Comics",NA
"736",NA,"Farinella, Matteo","M","Autore unico","IT, UK","GN","Nobrow Press, Rizzoli Lizard",NA
"737",NA,"Farricella, Arianna","F","Disegni","USA","P","Edgar Rice Burroughs",NA
"738",NA,"Fassio, Antonio","M","Colori","IT","GN","BeccoGiallo, Shockdom",NA
"739",NA,"Fattore, Alessia","F","Disegni","IT","P","Sergio Bonelli Editore","Scuola internazionale di Comics - Pescara"
"740",NA,"Fattori, Andrea","M","Disegni","IT, FR","P, GN","Éditions Soleil, Sergio Bonelli Editore",NA
"741",NA,"Favilla, Guglielmo","M","Sceneggiatura","IT","GN","Kleiner Flug",NA
"742",NA,"Febbraio, Michele","M","Lettering","IT","GN","BeccoGiallo",NA
"743",NA,"Fecchi, Massimo","M","Disegni","IT","P","The Walt Disney Company",NA
